zip_code,problem,score,rationale
10013,Street Light Condition,4,"A middling 164 complaints — atmospheric, if you're feeling generous."
10014,Street Light Condition,4,"149 dim-bulb complaints: moody lighting, decidedly mixed reviews."
10014,Traffic Signal Condition,3,Only 143 signal complaints — refreshingly obedient traffic lights.
10016,Traffic Signal Condition,5,"220 signal complaints: middling mayhem, respectable amount of honking."
10016,Street Light Condition,3,Only 108 street-light complaints — surprisingly well-lit sidewalks here.
10017,Traffic Signal Condition,6,"A solid 248 complaints — the lights misbehave, but politely."
10017,Street Light Condition,2,Just 74 complaints; the street lamps mostly do their job.
10018,Traffic Signal Condition,4,"153 signal complaints: middling mayhem, respectable amount of honking."
10018,Street Light Condition,1,Only 58 street-light complaints — surprisingly well-lit sidewalks here.
10019,Traffic Signal Condition,7,303 complaints logged; intersections run on chaos and vibes.
10019,Street Light Condition,4,"A middling 159 complaints — atmospheric, if you're feeling generous."
10020,Street Light Condition,0,4 complaints total; these sidewalks are almost suspiciously bright.
10020,Traffic Signal Condition,0,19 complaints total; these traffic lights are model citizens.
10021,Traffic Signal Condition,6,"232 signal complaints: middling mayhem, respectable amount of honking."
10021,Street Light Condition,2,Only 85 street-light complaints — surprisingly well-lit sidewalks here.
10022,Traffic Signal Condition,4,"A solid 162 complaints — the lights misbehave, but politely."
10022,Street Light Condition,3,Just 120 complaints; the street lamps mostly do their job.
10023,Traffic Signal Condition,6,"255 signal complaints: middling mayhem, respectable amount of honking."
10023,Street Light Condition,4,"162 dim-bulb complaints: moody lighting, decidedly mixed reviews."
10024,Traffic Signal Condition,6,"A solid 237 complaints — the lights misbehave, but politely."
10024,Street Light Condition,5,"A middling 190 complaints — atmospheric, if you're feeling generous."
10025,Street Light Condition,7,279 street-light complaints — the shadows really thrive in this ZIP.
10025,Traffic Signal Condition,6,"250 signal complaints: middling mayhem, respectable amount of honking."
10026,Street Light Condition,3,Just 110 complaints; the street lamps mostly do their job.
10026,Traffic Signal Condition,3,Just 110 complaints; the signals here mostly behave themselves.
10027,Traffic Signal Condition,7,303 signal complaints — the traffic lights here clearly have opinions.
10027,Street Light Condition,6,"251 dim-bulb complaints: moody lighting, decidedly mixed reviews."
10028,Traffic Signal Condition,5,"A solid 205 complaints — the lights misbehave, but politely."
10028,Street Light Condition,3,Just 107 complaints; the street lamps mostly do their job.
10029,Traffic Signal Condition,8,312 signal complaints — the traffic lights here clearly have opinions.
10029,Street Light Condition,4,"161 dim-bulb complaints: moody lighting, decidedly mixed reviews."
10030,Street Light Condition,3,Only 116 street-light complaints — surprisingly well-lit sidewalks here.
10030,Traffic Signal Condition,3,Only 105 signal complaints — refreshingly obedient traffic lights.
10031,Street Light Condition,5,"A middling 209 complaints — atmospheric, if you're feeling generous."
10031,Traffic Signal Condition,4,"A solid 181 complaints — the lights misbehave, but politely."
10032,Traffic Signal Condition,5,"198 signal complaints: middling mayhem, respectable amount of honking."
10032,Street Light Condition,4,"171 dim-bulb complaints: moody lighting, decidedly mixed reviews."
10033,Traffic Signal Condition,5,"A solid 218 complaints — the lights misbehave, but politely."
10033,Street Light Condition,4,"A middling 159 complaints — atmospheric, if you're feeling generous."
10034,Traffic Signal Condition,6,"255 signal complaints: middling mayhem, respectable amount of honking."
10034,Street Light Condition,5,"179 dim-bulb complaints: moody lighting, decidedly mixed reviews."
10035,Traffic Signal Condition,9,384 complaints logged; intersections run on chaos and vibes.
10035,Street Light Condition,4,"A middling 138 complaints — atmospheric, if you're feeling generous."
10036,Traffic Signal Condition,5,"221 signal complaints: middling mayhem, respectable amount of honking."
10036,Street Light Condition,4,"140 dim-bulb complaints: moody lighting, decidedly mixed reviews."
10037,Traffic Signal Condition,3,Just 120 complaints; the signals here mostly behave themselves.
10037,Street Light Condition,2,Just 83 complaints; the street lamps mostly do their job.
10038,Street Light Condition,2,Only 65 street-light complaints — surprisingly well-lit sidewalks here.
10038,Traffic Signal Condition,2,Only 97 signal complaints — refreshingly obedient traffic lights.
10039,Street Light Condition,2,Just 91 complaints; the street lamps mostly do their job.
10039,Traffic Signal Condition,2,Just 78 complaints; the signals here mostly behave themselves.
10040,Street Light Condition,4,"A middling 171 complaints — atmospheric, if you're feeling generous."
10040,Traffic Signal Condition,3,Just 125 complaints; the signals here mostly behave themselves.
10041,Street Light Condition,0,A mere 1 street-light complaint — practically glowing around here.
10044,Street Light Condition,0,1 complaint total; these sidewalks are almost suspiciously bright.
10045,Street Light Condition,0,A mere 3 street-light complaints — practically glowing around here.
10045,Traffic Signal Condition,0,A mere 7 signal complaints — practically utopian intersections.
10048,Street Light Condition,0,1 complaint total; these sidewalks are almost suspiciously bright.
10048,Traffic Signal Condition,0,11 complaints total; these traffic lights are model citizens.
10065,Traffic Signal Condition,5,"225 signal complaints: middling mayhem, respectable amount of honking."
10065,Street Light Condition,2,Only 93 street-light complaints — surprisingly well-lit sidewalks here.
10069,Street Light Condition,1,Only 51 street-light complaints — surprisingly well-lit sidewalks here.
10075,Traffic Signal Condition,2,Just 99 complaints; the signals here mostly behave themselves.
10075,Street Light Condition,1,Just 46 complaints; the street lamps mostly do their job.
10121,Street Light Condition,0,1 complaint total; these sidewalks are almost suspiciously bright.
10128,Street Light Condition,4,"159 dim-bulb complaints: moody lighting, decidedly mixed reviews."
10128,Traffic Signal Condition,4,"173 signal complaints: middling mayhem, respectable amount of honking."
10165,Traffic Signal Condition,0,3 complaints total; these traffic lights are model citizens.
10168,Traffic Signal Condition,0,A mere 16 signal complaints — practically utopian intersections.
10169,Traffic Signal Condition,1,Just 28 complaints; the signals here mostly behave themselves.
10172,Traffic Signal Condition,1,Just 49 complaints; the signals here mostly behave themselves.
10172,Street Light Condition,0,19 complaints total; these sidewalks are almost suspiciously bright.
10278,Street Light Condition,1,Only 20 street-light complaints — surprisingly well-lit sidewalks here.
10278,Traffic Signal Condition,1,Only 24 signal complaints — refreshingly obedient traffic lights.
10279,Street Light Condition,0,1 complaint total; these sidewalks are almost suspiciously bright.
10280,Street Light Condition,0,6 complaints total; these sidewalks are almost suspiciously bright.
10280,Traffic Signal Condition,0,1 complaint total; these traffic lights are model citizens.
10281,Traffic Signal Condition,0,A mere 4 signal complaints — practically utopian intersections.
10282,Street Light Condition,2,Just 75 complaints; the street lamps mostly do their job.
10282,Traffic Signal Condition,0,8 complaints total; these traffic lights are model citizens.
10463,Street Light Condition,0,A mere 6 street-light complaints — practically glowing around here.
10463,Traffic Signal Condition,0,A mere 3 signal complaints — practically utopian intersections.
